50,25
name: Mary Smith, member: false, request number: 1
name: Minnie Davidson, member: true, request number: 5
name: Ida Frank, member: true, request number: 7
name: Clara Kendrick, member: true, request number: 12
name: Ella Lutz, member: true, request number: 13
name: Florence Mann, member: true, request number: 14
name: Cora Neilsen, member: true, request number: 15
name: Nellie Quinn, member: true, request number: 18
name: Grace Roth, member: true, request number: 19
name: Maude Turk, member: true, request number: 21
name: Bessie van Ophem, member: true, request number: 23
name: Gertrude Xavier, member: true, request number: 25
name: Julia Yoon, member: true, request number: 26
name: Rose Christenson, member: true, request number: 30
name: Catherine Dudley, member: true, request number: 31
name: Lillian Evans, member: true, request number: 32
name: Ada Farmer, member: true, request number: 33
name: Lillie Giggs, member: true, request number: 34
name: Jessie Ivan, member: true, request number: 36
name: Louise Johnson, member: true, request number: 37
name: Ethel Jones, member: true, request number: 38
name: Frances Nunn, member: true, request number: 42
name: Maggie Damer, member: true, request number: 46
name: Fannie Jepson, member: true, request number: 49
name: Josephine Harrison, member: true, request number: 50
name: Anna Adams, member: false, request number: 2
name: Emma Bates, member: false, request number: 3
name: Elizabeth Carson, member: false, request number: 4
name: Margaret Ellis, member: false, request number: 6
name: Alice George, member: false, request number: 8
name: Bertha Harris, member: false, request number: 9
name: Sarah Ingles, member: false, request number: 10
name: Annie Jackson, member: false, request number: 11
name: Martha O'hara, member: false, request number: 16
name: Laura Paquin, member: false, request number: 17
name: Carrie Statson, member: false, request number: 20
name: Mabel Ulrich, member: false, request number: 22
name: Jennie Watts, member: false, request number: 24
name: Hattie Zelinsky, member: false, request number: 27
name: Edith Arthur, member: false, request number: 28
name: Mattie Briggs, member: false, request number: 29
name: Helen Harper, member: false, request number: 35
name: Lula Kravitz, member: false, request number: 39
name: Myrtle Lyle, member: false, request number: 40
name: Eva Moon, member: false, request number: 41
name: Lena Dunn, member: false, request number: 43
name: Lucy Potts, member: false, request number: 44
name: Edna Arvitz, member: false, request number: 45
name: Pearl Potter, member: false, request number: 47
name: Daisy Train, member: false, request number: 48
